episode,reward
1,7.651582
2,10.322642
3,11.628196
4,6.408358
5,17.107247
6,12.089383
7,17.527983
8,13.74863
9,16.765768
10,4.995766
11,1.892678
12,4.9378
13,17.43739
14,1.874069
15,10.585408
16,4.69409
17,17.534945
18,2.051993
19,10.397406
20,10.11639
21,1.882266
22,17.355549
23,13.963649
24,18.551974
25,10.643051
26,2.896954
27,8.700398
28,5.522985
29,17.650553
30,5.20784
31,7.917485
32,10.257486
33,7.610165
34,16.642841
35,16.84757
36,12.265875
37,2.004178
38,2.061046
39,17.050426
40,17.625834
41,13.03781
42,17.18648
43,11.552201
44,9.497374
45,7.677702
46,2.841665
47,7.180132
48,16.871777
49,4.052852
50,3.825976
51,16.200022
52,4.052853
53,4.831121
54,2.897621
55,5.757392
56,3.477018
57,17.741431
58,3.679946
59,6.450048
60,4.847272
61,18.501366
62,9.631041
63,16.578005
64,2.682542
65,4.96239
66,8.472265
67,17.79658
68,17.065484
69,17.166874
70,8.405491
71,2.713115
72,17.109366
73,6.648267
74,7.016015
75,5.642672
76,18.97742
77,2.979111
78,4.969993
79,1.971107
80,16.961962
81,1.811093
82,3.600166
83,3.719782
84,16.782519
85,9.929612
86,2.623163
87,1.159632
88,13.774286
89,12.675409
90,16.716801
91,17.802628
92,16.339106
93,16.651772
94,16.962674
95,9.035468
96,5.843255
97,1.995981
98,8.806284
99,3.85616
100,17.593521
101,11.503383
102,9.554039
103,16.863992
104,16.733741
105,16.951713
106,7.847517
107,6.597536
108,6.749868
109,16.904576
110,7.307214
111,2.863285
112,5.172343
113,4.864338
114,4.003966
115,7.374265
116,6.707914
117,6.148435
118,5.526144
119,16.752962
120,6.396549
121,17.031484
122,18.493825
123,1.971391
124,8.76952
125,17.092246
126,17.80615
127,8.278306
128,17.490472
129,5.258118
130,12.638445
131,13.006698
132,7.323741
133,16.796165
134,11.421927
135,15.733376
136,7.586008
137,4.826064
138,7.038602
139,2.699319
140,18.010529
141,3.710135
142,7.428566
143,9.092489
144,11.318392
145,3.762108
146,9.235324
147,6.24459
148,9.011602
149,8.248957
150,2.800299
151,1.890463
152,1.987785
153,8.708254
154,1.906856
155,17.9533
156,8.896832
157,9.252181
158,10.86762
159,17.360114
160,15.205369
161,5.989876
162,17.51769
163,18.133841
164,2.03585
165,7.986989
166,6.009261
167,5.880726
168,2.880845
169,17.118746
170,17.37215
171,3.603985
172,2.776091
173,12.371511
174,5.84024
175,6.831093
176,4.332075
177,3.930196
178,13.733714
179,16.773904
180,3.987283
181,18.101135
182,17.953832
183,5.560988
184,17.474651
185,3.709725
186,15.355478
187,3.750104
188,16.487841
189,4.798406
190,1.883824
191,7.513824
192,16.757569
193,14.101391
194,7.577639
195,10.508037
196,14.396315
197,6.331501
198,3.540795
199,8.527651
200,13.921965
201,17.724192
202,5.282894
203,7.202536
204,17.05191
205,11.577059
206,17.285279
207,6.948055
208,16.847924
209,4.645737
210,15.142923
211,1.843879
212,17.131144
213,3.380872
214,10.937519
215,17.324695
216,5.236777
217,1.979588
218,2.699319
219,7.036749
220,11.932591
221,11.159969
222,13.454293
223,17.028249
224,16.880662
225,5.507458
226,5.737714
227,17.556257
228,15.748741
229,6.819451
230,14.808129
231,2.896954
232,8.438277
233,10.007236
234,17.051888
235,14.831144
236,5.571149
237,15.886098
238,5.713086
239,7.71994
240,14.790871
241,14.922919
242,16.236575
243,7.203771
244,16.074857
245,18.084494
246,4.278529
247,11.102323
248,8.568439
249,16.823335
250,2.905151
251,6.56394
252,16.842979
253,2.720929
254,17.624105
255,2.720929
256,12.745315
257,7.266501
258,10.572604
259,17.085242
260,17.716299
261,1.143238
262,6.872514
263,8.420657
264,12.549855
265,16.463223
266,7.052812
267,6.280297
268,1.925847
269,5.404593
270,8.47766
271,2.800299
272,3.663552
273,16.741912
274,16.85669
275,17.237726
276,6.455654
277,17.955781
278,5.275557
279,17.166881
280,16.203634
281,2.889449
282,17.601379
283,9.494104
284,3.630027
285,5.762267
286,6.102591
287,2.712732
288,3.606557
289,6.002601
290,17.097597
291,16.659972
292,1.945635
293,16.95188
294,1.96291
295,14.498885
296,16.664615
297,12.20002
